"","name","ticker","date"
"807","Axactor SE","AXA","2020-04-17T10:39:00.09+02:00"
"808","Yara International ASA","YAR","2020-04-17T08:00:01.787+02:00"
"809","Yara International ASA","YAR","2020-04-17T08:00:01.57+02:00"
"810","Orkla ASA","ORK","2020-04-17T07:00:02.187+02:00"
"811","Orkla ASA","ORK","2020-04-17T07:00:02.123+02:00"
"812","Orkla ASA","ORK","2020-04-17T07:00:02.107+02:00"
"813","Orkla ASA","ORK","2020-04-17T07:00:02.093+02:00"
"814","Stolt-Nielsen Limited","SNI","2020-04-16T08:30:02.053+02:00"
"815","Lerøy Seafood Group ASA","LSG","2020-04-06T08:29:09.743+02:00"
"816","Lerøy Seafood Group ASA","LSG","2020-04-06T08:29:09.727+02:00"
"817","Eidsiva Energi AS","EIEN","2020-04-03T14:40:04.733+02:00"
"818","Navigator Holdings Ltd","NAVIG","2020-04-02T22:12:38.907+02:00"
"819","Navigator Holdings Ltd","NAVIG","2020-04-02T22:12:02.627+02:00"
"820","Treasure ASA","TRE","2020-04-01T19:11:52.347+02:00"
"821","SpareBank 1 Nordvest","SNOR","2020-04-01T18:55:24.573+02:00"
"822","Treasure ASA","TRE","2020-04-01T16:30:00+02:00"
"823","SoftOx Solutions AS","SOFTOX-ME","2020-03-31T20:40:59.12+02:00"
"824","SoftOx Solutions AS","SOFTOX-ME","2020-03-31T20:09:04.103+02:00"
"825","DNO North Sea plc","FAPE","2020-03-31T09:13:06.613+02:00"
"826","Scana ASA","SCANA","2020-03-30T15:23:58.72+02:00"
"827","Eagle Bulk Shipco LLC","EBS","2020-03-27T21:03:49.56+01:00"
"828","Altera Shuttle Tankers LLC","AST","2020-03-27T20:12:26.75+01:00"
"829","AKA AS","AKAAS","2020-03-26T20:53:01.71+01:00"
"830","Ocean Yield ASA","OCY","2020-03-26T19:05:29.46+01:00"
"831","Sogn Sparebank","SOGN","2020-03-25T17:00:06.367+01:00"
"832","SpareBank 1 Nordvest","SNOR","2020-03-24T14:53:17.66+01:00"
"833","SpareBank 1 BV","SBVG","2020-03-24T10:00:27.653+01:00"
