"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"831",2020-05-08,"Bruker hele uka på åpning for de videregående skolene",35671,25800,0,39,766457,51,"Videregående opplæring;Nytt koronavirus (Covid-19)","https://www.nrk.no/rogaland/bruker-hele-uka-pa-apning-for-de-videregaende-skolene-1.15009623",684
"832",2020-05-08,"Politiet får unna gamle straffesaker i rekordfart",17840,11777,0,37,387103,39,"Nytt koronavirus (Covid-19)","https://www.nrk.no/vestfoldogtelemark/politiet-far-unna-gamle-straffesaker-i-rekordfart-1.15007350",454
"833",2020-05-08,"Felles for landene som er hardest rammet av koronautbruddet: Lav tillit til myndighetene",82391,56851,0,77,3543282,71,"Urix;Nytt koronavirus (Covid-19)","https://www.nrk.no/urix/felles-for-landene-som-er-hardest-rammet-av-koronautbruddet_-lav-tillit-til-myndighetene-1.15008491",1077
"834",2020-05-08,"Hellas ønsker å åpne for turister i juli",81038,58131,0,71,2932334,69,"Urix;Hellas;Nytt koronavirus (Covid-19)","https://www.nrk.no/urix/hellas-onsker-a-apne-for-turister-i-juli-1.15009194",979
"835",2020-06-08,"Mange døyr åleine med koronasjukdom",2060,1541,0,53,61656,27,"Storbritannia;Urix;Nytt koronavirus (Covid-19)","https://www.nrk.no/urix/mange-doyr-aleine-med-koronasjukdom-1.15044403",437
"836",2020-06-08,"Fryktar at årets russ sniker i køen til dei beste studieplassane",136321,91347,0,48,3603791,43,"Norge;Nytt koronavirus (Covid-19);Skole og utdanning;Høyere utdanning","https://www.nrk.no/vestland/fryktar-at-arets-russ-sniker-i-koen-til-dei-beste-studieplassane-1.15041979",539
"837",2020-06-08,"Frykter regjeringen går mot nasjonal eiendomsskatt",46426,24182,0,43,1274695,50,"Økonomi;Skatt og avgifter;Nytt koronavirus (Covid-19);Boligmarked og boligpriser","https://www.nrk.no/norge/frykter-regjeringen-gar-mot-nasjonal-eiendomsskatt-1.15043336",753
"838",2020-06-08,"Usman (31) fra Stovner er med på å lede kampen mot koronaviruset i Pakistan",21038,12624,0,78,952640,45,"Norge;Nytt koronavirus (Covid-19);Pakistan","https://www.nrk.no/norge/usman-_31_-fra-stovner-er-med-pa-a-lede-kampen-mot-koronaviruset-i-pakistan-1.15041995",671
"839",2020-06-08,"Ingen korona på New Zealand",15489,10079,0,46,429401,25,"Urix;Nytt koronavirus (Covid-19);New Zealand","https://www.nrk.no/urix/ingen-korona-pa-new-zealand-1.15044462",318
"840",2020-06-08,"Øya der ingen blir syke",307104,200080,0,80,13330597,59,"Urix;Nytt koronavirus (Covid-19);Italia;Forskning og vitenskap","https://www.nrk.no/urix/oya-der-ingen-blir-syke-1.15043583",715
"841",2020-06-08,"Meiner elsykkelferie kan øydeleggje sårbar norsk natur",9019,6233,0,41,192259,29,"Natur og dyreliv;Nytt koronavirus (Covid-19)","https://www.nrk.no/vestfoldogtelemark/meiner-elsykkelferie-kan-oydeleggje-sarbar-norsk-natur-1.15031477",273
"842",2020-06-08,"Travkusk bles 1,18 i promilletest. Årsaka var at alkometeret var sprita ned",50819,30007,0,52,1648276,35,"Sport;Nytt koronavirus (Covid-19)","https://www.nrk.no/rogaland/travkusk-bles-1_18-i-promilletest.-arsaka-var-at-alkometeret-var-sprita-ned-1.15043675",366
"843",2020-06-08,"Slik blir endringene i oljeskatten",18665,10569,0,49,537338,57,"Norge;Olje og gass;Politikk;Nytt koronavirus (Covid-19);Fra NRKs klimaredaksjon","https://www.nrk.no/norge/slik-blir-endringene-i-oljeskatten-1.15044882",1036
"844",2020-06-08,"Norske eksperter: – Ikke sannsynlig at viruset har oppstått på et laboratorium",123570,73574,0,73,5263228,61,"Nytt koronavirus (Covid-19)","https://www.nrk.no/norge/norske-eksperter_-_-ikke-sannsynlig-at-viruset-har-oppstatt-pa-et-laboratorium-1.15044750",1039
"845",2020-06-08,"Busch: – Sverige har bevisst tillatt stor smittespredning",118757,69747,0,40,2881227,36,"Urix;Sverige;Nytt koronavirus (Covid-19)","https://www.nrk.no/urix/busch_-_-sverige-har-bevisst-tillatt-stor-smittespredning-1.15045058",463
"846",2020-06-08,"Sophie Elise åtvarar mot mjølk – Fagfolk reagerer",202636,131153,0,40,4722560,35,"Kultur & Underholdning;Hud;Kulturlivet og koronapandemien;Melkeprodukter;Norge","https://www.nrk.no/kultur/sophie-elise-atvarar-mot-mjolk-_-fagfolk-reagerer-1.15044812",476
"847",2020-06-08,"Låg pågang for å teste seg for korona",150135,108857,0,37,3482576,31,"Norge;Nytt koronavirus (Covid-19)","https://www.nrk.no/norge/lag-pagang-for-a-teste-seg-for-korona-1.15045112",419
"848",2020-06-08,"Økonomiprofessor kritisk til oljeforliket: – Dette vil forlenge oljealderen",18996,12391,0,42,507325,31,"Norge;Olje og gass;Politikk;Nytt koronavirus (Covid-19)","https://www.nrk.no/norge/okonomiprofessor-kritisk-til-oljeforliket_-_-dette-vil-forlenge-oljealderen-1.15045774",432
"849",2020-07-08,"Louvre-museet åpner igjen",616,384,0,35,12138,16,"Urix;Frankrike;Nytt koronavirus (covid-19);Reiseliv og turisme;Reiseliv","https://www.nrk.no/urix/louvre-museet-apner-igjen-1.15080408",205
"850",2020-07-08,"Kan norske slakterier bli smitteklynger?",57277,35148,0,43,1397698,40,"Norge;Slakteri og kjøtt;Nytt koronavirus (covid-19);Næringsliv;Matbransjen;Mattilsynet","https://www.nrk.no/norge/kan-norske-slakterier-bli-smitteklynger_-1.15080507",502
