"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1959",2019-11-04,"Bendtner med kraftig skyts mot RBK-miljøet",27149,16128,0,61,1036510,26,"Eliteserien i fotball 2019","https://www.nrk.no/sport/bendtner-med-kraftig-skyts-mot-rbk-miljoet-1.14768750",411
"1960",2019-11-04,"04.11.2019 Nobels fredspris",6,2,0,33,195,1,"Dari","https://www.nrk.no/dari/04.11.2019-nobels-fredspris-1.14768763",5
"1961",2019-11-04,"04.11.2019 Nobels fredspris",9,3,0,17,101,1,"Somalisk","https://www.nrk.no/somalisk/04.11.2019-nobels-fredspris-1.14768776",16
"1962",2019-11-04,"04.11.2019 Nobels fredspris",11,6,0,12,133,1,"Tigrinja","https://www.nrk.no/tigrinja/04.11.2019-nobels-fredspris-1.14768784",10
"1963",2019-11-04,"Frp vil straffe enkeltpersoner hardere for sykehusfeil",56969,39711,0,60,1690294,46,"Politikk;Politi og kriminalitet;Helse;Haukeland universitetssjukehus;Norge","https://www.nrk.no/vestland/frp-vil-straffe-enkeltpersoner-hardere-for-sykehusfeil-1.14768487",729
"1964",2019-11-04,"ESA-presidenten vil ha svar om trygdeskandalen",19977,11337,0,46,611283,42,"Norge;Trygdeskandalen;Nav","https://www.nrk.no/norge/esa-presidenten-vil-ha-svar-om-trygdeskandalen-1.14768803",831
"1965",2019-11-04,"ESA ba norske myndigheter forklare trygdepraksisen allerede i 2015",53772,36051,0,87,2338041,60,"Trygdeskandalen;Norge;Nav;Politikk","https://www.nrk.no/norge/esa-ba-norske-myndigheter-forklare-trygdepraksisen-allerede-i-2015-1.14764589",1133
"1966",2019-11-04,"Byråd om samisk satsing i Oslo: – Ingen fripass til mer penger",938,571,0,48,32631,38,"Samisk Hus i Oslo;NRK Sápmi – norsk;Norge;Oslo-budsjettet 2020","https://www.nrk.no/sapmi/byrad-om-samisk-satsing-i-oslo_-_-ingen-fripass-til-mer-penger-1.14760173",408
"1967",2019-11-04,"Her blir Greg Johnson sendt ut av landet – Elden varsler etterspill",38243,25051,0,40,917291,28,"Norge","https://www.nrk.no/norge/her-blir-greg-johnson-sendt-ut-av-landet-_-elden-varsler-etterspill-1.14768894",433
"1968",2019-11-04,"Vil frakte sauekjøt til Midtausten: – Det er eit nederlag for heile matkulturen vår",71307,43677,0,42,1999768,18,"Norge;Landbruk;Sau og geit;Verdens miljøverndag (WED)","https://www.nrk.no/vestland/vil-frakte-sauekjot-til-midtausten_-_-det-er-eit-nederlag-for-heile-matkulturen-var-1.14768462",306
"1969",2019-11-04,"Nye problemer for Boeing kan forsinke amerikansk romprogram",46490,25627,0,71,2119786,39,"Urix;Romfart ;SpaceX","https://www.nrk.no/urix/nye-problemer-for-boeing-kan-forsinke-amerikansk-romprogram-1.14768790",560
